mmsi,timestamp,latitude,longitude
219005747,1541894400,55.51711,9.712822
219005747,1541894402,55.517068,9.713002
219005747,1541894404,55.516988,9.713365
219005747,1541894406,55.51691,9.713728
219005747,1541894408,55.516833,9.714092
219005747,1541894410,55.516757,9.714455
219005747,1541894412,55.516677,9.714817
219005747,1541894414,55.516592,9.715175
219005747,1541894416,55.516515,9.71554
219005747,1541894418,55.516405,9.716087
219005747,1541894420,55.516365,9.716267
219005747,1541894422,55.516285,9.716623
219005747,1541894424,55.516207,9.716982
219005747,1541894426,55.51613,9.71734
219005747,1541894428,55.516055,9.717698
219005747,1541894430,55.515985,9.718058
219005747,1541894432,55.515915,9.718418
219005747,1541894434,55.515842,9.718777
219005747,1541894436,55.515767,9.719133
219005747,1541894438,55.51569,9.71949
219005747,1541894440,55.51558,9.720028
219005747,1541894442,55.515543,9.720207
219005747,1541894444,55.515468,9.720565
219005747,1541894446,55.515393,9.720922
219005747,1541894448,55.515318,9.721277
219005747,1541894450,55.515245,9.721635
219005747,1541894452,55.51517,9.721993
219005747,1541894454,55.515095,9.722352
219005747,1541894456,55.515025,9.722712
219005747,1541894458,55.514953,9.723072
219005747,1541894460,55.514845,9.723612
219005747,1541894462,55.514773,9.72397
219005747,1541894464,55.514735,9.72415
219005747,1541894466,55.514657,9.724507
219005747,1541894468,55.51458,9.724865
219005747,1541894470,55.514507,9.725223
219005747,1541894472,55.514438,9.725585
219005747,1541894474,55.514368,9.725945
219005747,1541894476,55.514298,9.726305
219005747,1541894478,55.514197,9.726848
219005747,1541894480,55.514163,9.72703
219005747,1541894482,55.514103,9.727395
219005747,1541894484,55.514052,9.727765
219005747,1541894486,55.514003,9.728137
219005747,1541894488,55.513955,9.72851
219005747,1541894490,55.513908,9.728883
219005747,1541894492,55.51386,9.729257
219005747,1541894494,55.513812,9.72963
219005747,1541894498,55.513713,9.730378
219005747,1541894500,55.513643,9.730938
219005747,1541894502,55.51362,9.731125
219005747,1541894504,55.513573,9.7315
219005747,1541894506,55.513532,9.731875
219005747,1541894508,55.513488,9.732252
219005747,1541894510,55.513443,9.732627
219005747,1541894512,55.513402,9.733002
219005747,1541894514,55.513338,9.733565
219005747,1541894516,55.513317,9.733752
219005747,1541894518,55.513273,9.734127
219005747,1541894520,55.51323,9.734503
219005747,1541894522,55.513177,9.735068
219005747,1541894524,55.513163,9.735258
219005747,1541894526,55.513143,9.73564
219005747,1541894528,55.513123,9.736022
219005747,1541894530,55.513103,9.736407
219005747,1541894532,55.513087,9.73679
219005747,1541894534,55.513068,9.737173
219005747,1541894536,55.513053,9.737557
219005747,1541894538,55.513028,9.738132
219005747,1541894540,55.513018,9.738323
219005747,1541894542,55.513003,9.738707
219005747,1541894544,55.512988,9.739092
219005747,1541894546,55.51297,9.739477
219005747,1541894548,55.51295,9.739862
219005747,1541894550,55.512933,9.740247
219005747,1541894552,55.512923,9.74063
219005747,1541894554,55.512922,9.741013
219005747,1541894556,55.512945,9.741392
219005747,1541894558,55.512985,9.741768
219005747,1541894560,55.513028,9.742143
219005747,1541894562,55.513077,9.742518
219005747,1541894564,55.513128,9.742892
219005747,1541894566,55.51319,9.743255
219005747,1541894568,55.513278,9.743598
219005747,1541894570,55.513393,9.743917
219005747,1541894572,55.513528,9.744207
219005747,1541894574,55.513762,9.744587
219005747,1541894576,55.513847,9.744702
219005747,1541894578,55.514018,9.744925
219005747,1541894580,55.514192,9.745143
219005747,1541894582,55.514462,9.745447
219005747,1541894584,55.514557,9.745535
219005747,1541894586,55.51475,9.745687
219005747,1541894588,55.514948,9.745822
219005747,1541894590,55.515148,9.745947
219005747,1541894592,55.51535,9.74607
219005747,1541894594,55.515552,9.7462
219005747,1541894596,55.515753,9.746323
219005747,1541894598,55.516067,9.746443
219005747,1541894600,55.516172,9.746485
219005747,1541894602,55.51638,9.746567
219005747,1541894604,55.51659,9.746643
219005747,1541894606,55.516798,9.74672
219005747,1541894608,55.517008,9.746797
219005747,1541894610,55.517217,9.746872
219005747,1541894612,55.517427,9.746945
219005747,1541894614,55.517635,9.747018
219005747,1541894616,55.517845,9.747093
219005747,1541894618,55.518055,9.747167
219005747,1541894620,55.518265,9.747232
219005747,1541894622,55.518477,9.74728
219005747,1541894624,55.518688,9.747323
219005747,1541894626,55.519007,9.747395
219005747,1541894628,55.519203,9.747448
219005747,1541894630,55.519407,9.747502
219005747,1541894632,55.519617,9.74755
219005747,1541894634,55.51994,9.747615
219005747,1541894636,55.520048,9.747635
219005747,1541894638,55.520158,9.747655
219005747,1541894640,55.520378,9.747697
219005747,1541894642,55.520705,9.747767
219005747,1541894644,55.520815,9.74779
219005747,1541894646,55.521035,9.747832
219005747,1541894648,55.521253,9.747868
219005747,1541894650,55.521473,9.747905
219005747,1541894652,55.521692,9.747948
219005747,1541894654,55.521908,9.747997
219005747,1541894656,55.522127,9.748037
219005747,1541894658,55.522453,9.748097
219005747,1541894660,55.522562,9.748117
219005747,1541894662,55.52278,9.748153
219005747,1541894664,55.522998,9.74819
219005747,1541894666,55.523215,9.748227
219005747,1541894668,55.523433,9.748257
219005747,1541894670,55.52365,9.748287
219005747,1541894672,55.523868,9.748322
219005747,1541894674,55.524087,9.74836
219005747,1541894676,55.524303,9.7484
219005747,1541894678,55.52452,9.748435
219005747,1541894680,55.524737,9.748468
219005747,1541894682,55.524953,9.748502
219005747,1541894684,55.52517,9.748535
219005747,1541894686,55.525387,9.74857
219005747,1541894688,55.525603,9.748605
219005747,1541894690,55.52582,9.748637
219005747,1541894692,55.526038,9.748662
219005747,1541894694,55.526362,9.748688
219005747,1541894696,55.52647,9.748695
219005747,1541894698,55.526687,9.748707
219005747,1541894700,55.526903,9.748718
219005747,1541894702,55.527228,9.748733
219005747,1541894704,55.527337,9.74874
219005747,1541894706,55.527553,9.748753
219005747,1541894708,55.52777,9.748762
219005747,1541894710,55.527988,9.748767
219005747,1541894712,55.528205,9.748767
219005747,1541894714,55.528423,9.748772
219005747,1541894716,55.52864,9.74878
219005747,1541894718,55.528967,9.748803
219005747,1541894720,55.529077,9.74881
219005747,1541894722,55.529295,9.748822
219005747,1541894724,55.529512,9.748833
219005747,1541894726,55.52973,9.74884
219005747,1541894728,55.52995,9.748845
219005747,1541894730,55.530168,9.748852
219005747,1541894732,55.530387,9.748853
219005747,1541894734,55.530605,9.748858
219005747,1541894736,55.530823,9.748862
219005747,1541894738,55.531042,9.748865
219005747,1541894740,55.531258,9.748872
219005747,1541894744,55.531695,9.748888
219005747,1541894746,55.531913,9.748893
219005747,1541894746,55.531913,9.748893
219005747,1541894748,55.532132,9.748898
219005747,1541894750,55.532348,9.748905
219005747,1541894752,55.532567,9.74891
219005747,1541894754,55.532893,9.74892
219005747,1541894756,55.533002,9.748925
219005747,1541894758,55.53322,9.748933
219005747,1541894760,55.533437,9.748943
219005747,1541894762,55.533765,9.748952
219005747,1541894764,55.533873,9.748953
219005747,1541894766,55.534092,9.748958
219005747,1541894768,55.53431,9.748965
219005747,1541894770,55.534528,9.748973
219005747,1541894772,55.534745,9.74898
219005747,1541894774,55.534963,9.74899
219005747,1541894776,55.53529,9.749
219005747,1541894778,55.535508,9.749007
219005747,1541894780,55.535617,9.74901
219005747,1541894782,55.535837,9.749017
219005747,1541894784,55.536055,9.749025
219005747,1541894786,55.536273,9.749033
219005747,1541894788,55.536492,9.749043
219005747,1541894790,55.53671,9.749053
219005747,1541894792,55.536928,9.749065
219005747,1541894794,55.537147,9.749077
219005747,1541894796,55.537475,9.749095
219005747,1541894798,55.537585,9.749102
219005747,1541894800,55.537803,9.749112
219005747,1541894802,55.538022,9.749122
219005747,1541894804,55.538242,9.749128
219005747,1541894806,55.53846,9.749137
219005747,1541894808,55.53868,9.749147
219005747,1541894810,55.538898,9.749157
219005747,1541894812,55.539118,9.749168
219005747,1541894814,55.539447,9.749185
219005747,1541894816,55.539557,9.749188
219005747,1541894818,55.539777,9.749195
219005747,1541894820,55.539997,9.749202
219005747,1541894822,55.540327,9.749208
